"NAME","NOMBRE","JCC2010","ONE2010","TSP2009","ASI2010","TMM2011","MED2001","EDU2000","EDU2001","EDU2002","EDU2003","EDU2004","EDU2005","EDU2006","EDU2007","EDU2008","EDU2009","EDU2010","MID1999","MID2000","MID2001","MID2002","MID2003","MID2004","MID2005","MID2006","MID2007","MID2008","MID2009","MID2010","MID2011","MMD1999","MMD2000","MMD2001","MMD2002","MMD2003","MMD2004","MMD2005","MMD2006","MMD2007","MMD2008","MMD2009","MMD2010","MMD2011","IDH2009","DEP2001","DEP2010","POB2010","PBG2011","COP2011","REC2011","GPT2011","ICI2011","TPP2013","SDP2012","ELEC2011","PART2012","DIP1983","DIP1985","DIP1987","DIP1989","DIP1991","DIP1993","DIP1995","DIP1997","DIP1999","DIP2001","DIP2003","DIP2005","DIP2007","DIP2009","PAS2011","DIP2011","VEN1987","VEN2011","VEN1991","VEN1995","VEN1998","VEN2003","VEN2007","JCC2010X","ONE2010X","TSP2009X","ASI2010X","TMM2011X","MED2001X","EDU2000X","EDU2001X","EDU2002X","EDU2003X","EDU2004X","EDU2005X","EDU2006X","EDU2007X","EDU2008X","EDU2009X","EDU2010X","MID1999X","MID2000X","MID2001X","MID2002X","MID2003X","MID2004X","MID2005X","MID2006X","MID2007X","MID2008X","MID2009X","MID2010X","MID2011X","MMD1999X","MMD2000X","MMD2001X","MMD2002X","MMD2003X","MMD2004X","MMD2005X","MMD2006X","MMD2007X","MMD2008X","MMD2009X","MMD2010X","MMD2011X","IDH2009X","DEP2001X","DEP2010X","POB2010X","PBG2011X","COP2011X","REC2011X","GPT2011X","ICI2011X","TPP2013X","SDP2012X","ELEC2011X","PART2012X","DIP1983X","DIP1985X","DIP1987X","DIP1989X","DIP1991X","DIP1993X","DIP1995X","DIP1997X","DIP1999X","DIP2001X","DIP2003X","DIP2005X","DIP2007X","DIP2009X","PAS2011X","DIP2011X","VEN1987X","VEN2011X","VEN1991X","VEN1995X","VEN1998X","VEN2003X","VEN2007X"
"La Pampa","La Pampa",13.0,18.6,33.0,81.3,7.4,23.2,1767,1650,1627,1845,2270,3130,3962,5447,7815,9491,12192,15.2,15.3,12.4,13.1,12.7,14.6,11.4,10.0,11.8,14.9,13.7,7.0,10.4,17.0,19.3,14.2,14.4,15.3,16.3,14.2,11.1,13.5,16.5,15.5,7.8,11.5,0.844,61.5,56.4,318951,14697,6203,2287,13693,44.2,2.10,1.1,248492,9,10,11,9,8,8,8,7,6,5,7,7,6,10,7,10,5,46.6,35.2,41.1,47.7,48.0,40.6,45.7,"13,0%","18,6%","33,0%","81,3%","7,4%&#8320;&#8320;","23,2%&#8320;&#8320;","$ 1.767","$ 1.650","$ 1.627","$ 1.845","$ 2.270","$ 3.130","$ 3.962","$ 5.447","$ 7.815","$ 9.491","$ 12.192","15,2&#8240;","15,3&#8240;","12,4&#8240;","13,1&#8240;","12,7&#8240;","14,6&#8240;","11,4&#8240;","10,0&#8240;","11,8&#8240;","14,9&#8240;","13,7&#8240;","7,0&#8240;","10,4&#8240;","17,0&#8240;","19,3&#8240;","14,2&#8240;","14,4&#8240;","15,3&#8240;","16,3&#8240;","14,2&#8240;","11,1&#8240;","13,5&#8240;","16,5&#8240;","15,5&#8240;","7,8&#8240;","11,5&#8240;","0,844","61,5%","56,4%","318.951","14.697","$ 6.203","$ 2.287","$ 13.693","44,2%","2,1","1,1%","248.492","9","10","11","9","8","8","8","7","6","5","7","7","6","10","7","10","5","46,6%","35,2%","41,1%","47,7%","48,0%","40,6%","45,7%"
"La Rioja","La Rioja",10.7,48.6,42.3,82.0,6.3,26.7,1485,1500,1570,1557,1858,2240,2819,3523,4993,6843,8297,20.6,20.9,23.5,20.8,17.3,18.2,13.8,14.1,12.9,15.0,14.6,12.6,16.5,23.6,24.2,26.7,23.8,20.1,21.8,15.7,16.7,15.8,17.0,16.8,14.4,18.5,0.817,66.2,54.0,333642,12263,6516,670,12607,50.0,2.20,7.3,230739,18,9,10,12,9,10,5,6,4,2,4,6,5,6,7,9,4,57.0,60.5,75.2,77.5,52.9,40.5,33.0,"10,7%","48,6%","42,3%","82,0%","6,3%&#8320;&#8320;","26,7%&#8320;&#8320;","$ 1.485","$ 1.500","$ 1.570","$ 1.557","$ 1.858","$ 2.240","$ 2.819","$ 3.523","$ 4.993","$ 6.843","$ 8.297","20,6&#8240;","20,9&#8240;","23,5&#8240;","20,8&#8240;","17,3&#8240;","18,2&#8240;","13,8&#8240;","14,1&#8240;","12,9&#8240;","15,0&#8240;","14,6&#8240;","12,6&#8240;","16,5&#8240;","23,6&#8240;","24,2&#8240;","26,7&#8240;","23,8&#8240;","20,1&#8240;","21,8&#8240;","15,7&#8240;","16,7&#8240;","15,8&#8240;","17,0&#8240;","16,8&#8240;","14,4&#8240;","18,5&#8240;","0,817","66,2%","54,0%","333.642","12.263","$ 6.516","$ 670","$ 12.607","50,0%","2,2","7,3%","230.739","18","9","10","12","9","10","5","6","4","2","4","6","5","6","7","9","4","57,0%","60,5%","75,2%","77,5%","52,9%","40,5%","33,0%"
"Mendoza","Mendoza",12.5,22.7,38.5,81.4,4.7,28.3,1004,1037,1005,1135,1593,1852,2423,3369,4399,5221,6105,16.2,14.3,12.1,12.3,11.1,13.5,11.3,11.9,11.3,10.8,9.9,11.7,9.7,19.6,17.2,14.8,15.5,14.2,15.9,14.0,14.7,13.4,12.6,12.0,14.3,11.5,0.832,62.4,56.0,1738929,63774,2514,1675,7522,37.6,9.10,8.2,1230463,23,13,11,12,11,13,9,10,8,7,10,16,16,26,17,10,8,29.9,33.2,49.5,35.9,11.0,30.4,24.1,"12,5%","22,7%","38,5%","81,4%","4,7%&#8320;&#8320;","28,3%&#8320;&#8320;","$ 1.004","$ 1.037","$ 1.005","$ 1.135","$ 1.593","$ 1.852","$ 2.423","$ 3.369","$ 4.399","$ 5.221","$ 6.105","16,2&#8240;","14,3&#8240;","12,1&#8240;","12,3&#8240;","11,1&#8240;","13,5&#8240;","11,3&#8240;","11,9&#8240;","11,3&#8240;","10,8&#8240;","9,9&#8240;","11,7&#8240;","9,7&#8240;","19,6&#8240;","17,2&#8240;","14,8&#8240;","15,5&#8240;","14,2&#8240;","15,9&#8240;","14,0&#8240;","14,7&#8240;","13,4&#8240;","12,6&#8240;","12,0&#8240;","14,3&#8240;","11,5&#8240;","0,832","62,4%","56,0%","1.738.929","63.774","$ 2.514","$ 1.675","$ 7.522","37,6%","9,1","8,2%","1.230.463","23","13","11","12","11","13","9","10","8","7","10","16","16","26","17","10","8","29,9%","33,2%","49,5%","35,9%","11,0%","30,4%","24,1%"
"Misiones","Misiones",4.7,42.3,39.1,71.6,8.7,15.0,767,689,660,753,894,1206,1596,2418,3015,3436,4921,21.7,22.2,19.6,22.3,20.2,16.6,14.6,17.1,14.6,13.9,13.0,13.2,13.7,25.7,26.1,22.1,26.0,24.6,19.0,18.0,20.6,17.8,16.6,15.5,15.3,17.2,0.802,76.1,63.4,1101593,29835,3136,1187,7181,44.5,5.95,11.9,723642,21,10,11,10,9,6,6,4,7,3,7,7,10,10,9,11,7,40.0,72.3,42.7,36.3,30.6,39.2,31.6,"4,7%","42,3%","39,1%","71,6%","8,7%&#8320;&#8320;","15,0%&#8320;&#8320;","$ 767","$ 689","$ 660","$ 753","$ 894","$ 1.206","$ 1.596","$ 2.418","$ 3.015","$ 3.436","$ 4.921","21,7&#8240;","22,2&#8240;","19,6&#8240;","22,3&#8240;","20,2&#8240;","16,6&#8240;","14,6&#8240;","17,1&#8240;","14,6&#8240;","13,9&#8240;","13,0&#8240;","13,2&#8240;","13,7&#8240;","25,7&#8240;","26,1&#8240;","22,1&#8240;","26,0&#8240;","24,6&#8240;","19,0&#8240;","18,0&#8240;","20,6&#8240;","17,8&#8240;","16,6&#8240;","15,5&#8240;","15,3&#8240;","17,2&#8240;","0,802","76,1%","63,4%","1.101.593","29.835","$ 3.136","$ 1.187","$ 7.181","44,5%","6,0","11,9%","723.642","21","10","11","10","9","6","6","4","7","3","7","7","10","10","9","11","7","40,0%","72,3%","42,7%","36,3%","30,6%","39,2%","31,6%"
"Neuquen","Neuqu&eacute;n",4.5,24.5,44.5,83.7,2.7,27.6,1795,1861,1953,2405,2646,3702,4714,6202,9185,10535,11969,12.4,11.4,13.0,11.7,10.8,11.1,9.9,9.8,9.6,7.4,7.6,9.2,7.5,15.1,13.6,15.5,13.3,13.6,13.2,11.8,12.0,11.0,8.9,9.1,10.7,9.7,0.842,59.5,49.6,551266,21832,3320,3635,15434,21.6,7.63,16.5,405196,16,10,12,11,8,7,8,9,9,7,9,14,6,11,10,8,8,40.9,38.7,44.1,56.8,34.9,51.2,40.9,"4,5%","24,5%","44,5%","83,7%","2,7%&#8320;&#8320;","27,6%&#8320;&#8320;","$ 1.795","$ 1.861","$ 1.953","$ 2.405","$ 2.646","$ 3.702","$ 4.714","$ 6.202","$ 9.185","$ 10.535","$ 11.969","12,4&#8240;","11,4&#8240;","13,0&#8240;","11,7&#8240;","10,8&#8240;","11,1&#8240;","9,9&#8240;","9,8&#8240;","9,6&#8240;","7,4&#8240;","7,6&#8240;","9,2&#8240;","7,5&#8240;","15,1&#8240;","13,6&#8240;","15,5&#8240;","13,3&#8240;","13,6&#8240;","13,2&#8240;","11,8&#8240;","12,0&#8240;","11,0&#8240;","8,9&#8240;","9,1&#8240;","10,7&#8240;","9,7&#8240;","0,842","59,5%","49,6%","551.266","21.832","$ 3.320","$ 3.635","$ 15.434","21,6%","7,6","16,5%","405.196","16","10","12","11","8","7","8","9","9","7","9","14","6","11","10","8","8","40,9%","38,7%","44,1%","56,8%","34,9%","51,2%","40,9%"
"Rio Negro","R&iacute;o Negro",14.1,18.2,41.9,82.5,1.7,25.9,1435,1178,1105,1300,1592,2549,3414,4139,5529,6620,8053,15.8,16.6,14.7,14.8,15.9,14.1,9.4,9.3,9.8,11.7,8.8,9.4,9.6,18.5,20.1,16.4,17.0,17.8,16.5,11.1,10.9,12.1,13.5,10.7,11.1,11.2,0.831,61.7,52.6,638645,22529,4129,1729,9541,44.1,7.83,17.5,435495,8,12,10,10,8,9,7,5,3,8,9,9,7,8,7,6,6,30.2,26.9,37.5,31.1,31.5,24.2,39.8,"14,1%","18,2%","41,9%","82,5%","1,7%&#8320;&#8320;","25,9%&#8320;&#8320;","$ 1.435","$ 1.178","$ 1.105","$ 1.300","$ 1.592","$ 2.549","$ 3.414","$ 4.139","$ 5.529","$ 6.620","$ 8.053","15,8&#8240;","16,6&#8240;","14,7&#8240;","14,8&#8240;","15,9&#8240;","14,1&#8240;","9,4&#8240;","9,3&#8240;","9,8&#8240;","11,7&#8240;","8,8&#8240;","9,4&#8240;","9,6&#8240;","18,5&#8240;","20,1&#8240;","16,4&#8240;","17,0&#8240;","17,8&#8240;","16,5&#8240;","11,1&#8240;","10,9&#8240;","12,1&#8240;","13,5&#8240;","10,7&#8240;","11,1&#8240;","11,2&#8240;","0,831","61,7%","52,6%","638.645","22.529","$ 4.129","$ 1.729","$ 9.541","44,1%","7,8","17,5%","435.495","8","12","10","10","8","9","7","5","3","8","9","9","7","8","7","6","6","30,2%","26,9%","37,5%","31,1%","31,5%","24,2%","39,8%"
"Salta","Salta",6.8,31.3,49.7,80.6,3.9,20.0,696,625,594,645,810,1194,1527,2014,2649,3289,3776,21.2,18.8,19.1,18.9,16.9,15.4,14.3,14.9,15.4,14.4,14.0,12.8,14.0,26.6,22.6,23.7,23.7,21.5,19.6,18.1,19.0,19.9,18.2,17.5,16.2,16.3,0.817,72.1,61.7,1214441,29862,3300,1150,6427,49.3,8.18,6.6,817094,21,12,10,9,11,12,9,11,6,9,8,9,14,15,12,10,7,41.6,53.8,30.0,30.9,48.1,41.3,39.2,"6,8%","31,3%","49,7%","80,6%","3,9%&#8320;&#8320;","20,0%&#8320;&#8320;","$ 696","$ 625","$ 594","$ 645","$ 810","$ 1.194","$ 1.527","$ 2.014","$ 2.649","$ 3.289","$ 3.776","21,2&#8240;","18,8&#8240;","19,1&#8240;","18,9&#8240;","16,9&#8240;","15,4&#8240;","14,3&#8240;","14,9&#8240;","15,4&#8240;","14,4&#8240;","14,0&#8240;","12,8&#8240;","14,0&#8240;","26,6&#8240;","22,6&#8240;","23,7&#8240;","23,7&#8240;","21,5&#8240;","19,6&#8240;","18,1&#8240;","19,0&#8240;","19,9&#8240;","18,2&#8240;","17,5&#8240;","16,2&#8240;","16,3&#8240;","0,817","72,1%","61,7%","1.214.441","29.862","$ 3.300","$ 1.150","$ 6.427","49,3%","8,2","6,6%","817.094","21","12","10","9","11","12","9","11","6","9","8","9","14","15","12","10","7","41,6%","53,8%","30,0%","30,9%","48,1%","41,3%","39,2%"
"San Juan","San Juan",6.9,36.1,40.6,78.6,4.2,25.0,1217,1175,1159,1223,1340,1884,2449,3400,4597,5451,6463,20.7,19.4,18.8,20.2,19.6,16.4,16.7,14.0,13.2,14.4,11.0,11.0,9.9,23.1,22.4,21.4,23.5,23.4,18.5,19.3,16.9,15.8,16.5,12.9,13.5,12.1,0.814,63.9,59.8,681055,27297,5182,1293,7953,53.0,8.23,7.0,468663,18,12,9,11,9,10,8,8,7,5,10,12,10,13,7,9,6,3.9,60.2,17.9,35.0,23.1,7.7,40.8,"6,9%","36,1%","40,6%","78,6%","4,2%&#8320;&#8320;","25,0%&#8320;&#8320;","$ 1.217","$ 1.175","$ 1.159","$ 1.223","$ 1.340","$ 1.884","$ 2.449","$ 3.400","$ 4.597","$ 5.451","$ 6.463","20,7&#8240;","19,4&#8240;","18,8&#8240;","20,2&#8240;","19,6&#8240;","16,4&#8240;","16,7&#8240;","14,0&#8240;","13,2&#8240;","14,4&#8240;","11,0&#8240;","11,0&#8240;","9,9&#8240;","23,1&#8240;","22,4&#8240;","21,4&#8240;","23,5&#8240;","23,4&#8240;","18,5&#8240;","19,3&#8240;","16,9&#8240;","15,8&#8240;","16,5&#8240;","12,9&#8240;","13,5&#8240;","12,1&#8240;","0,814","63,9%","59,8%","681.055","27.297","$ 5.182","$ 1.293","$ 7.953","53,0%","8,2","7,0%","468.663","18","12","9","11","9","10","8","8","7","5","10","12","10","13","7","9","6","3,9%","60,2%","17,9%","35,0%","23,1%","7,7%","40,8%"
"San Luis","San Luis",3.7,33.7,37.4,80.5,3.9,25.2,1429,1465,1296,1278,1506,2187,2478,3022,3516,3873,4700,18.9,17.2,17.8,16.5,17.4,15.2,16.0,12.8,15.7,13.1,12.9,10.7,12.3,20.8,19.4,19.4,18.4,20.2,17.6,17.7,14.5,18.3,14.9,14.0,12.5,14.7,0.815,64.1,57.7,432310,15313,5529,2006,10170,55.2,6.10,1.7,310367,18,9,8,7,9,11,8,9,5,4,5,6,11,7,6,8,3,44.2,36.7,47.0,62.2,31.5,86.8,79.4,"3,7%","33,7%","37,4%","80,5%","3,9%&#8320;&#8320;","25,2%&#8320;&#8320;","$ 1.429","$ 1.465","$ 1.296","$ 1.278","$ 1.506","$ 2.187","$ 2.478","$ 3.022","$ 3.516","$ 3.873","$ 4.700","18,9&#8240;","17,2&#8240;","17,8&#8240;","16,5&#8240;","17,4&#8240;","15,2&#8240;","16,0&#8240;","12,8&#8240;","15,7&#8240;","13,1&#8240;","12,9&#8240;","10,7&#8240;","12,3&#8240;","20,8&#8240;","19,4&#8240;","19,4&#8240;","18,4&#8240;","20,2&#8240;","17,6&#8240;","17,7&#8240;","14,5&#8240;","18,3&#8240;","14,9&#8240;","14,0&#8240;","12,5&#8240;","14,7&#8240;","0,815","64,1%","57,7%","432.310","15.313","$ 5.529","$ 2.006","$ 10.170","55,2%","6,1","1,7%","310.367","18","9","8","7","9","11","8","9","5","4","5","6","11","7","6","8","3","44,2%","36,7%","47,0%","62,2%","31,5%","86,8%","79,4%"
"Santa Cruz","Santa Cruz",4.0,25.0,45.8,89.2,0.0,25.0,2425,2489,2392,2528,2936,3472,4316,8040,11970,13098,15202,13.2,17.2,14.5,17.2,15.5,11.9,11.0,15.4,12.9,10.6,10.3,9.7,9.7,15.9,19.9,17.1,18.6,17.3,13.8,12.9,17.8,14.4,12.9,12.9,11.5,11.7,0.862,59.6,50.2,273964,8607,6093,3423,26862,22.3,2.30,10.4,195946,9,10,10,8,9,7,5,6,5,5,5,4,4,4,5,9,6,40.9,35.0,51.0,55.2,39.5,56.3,47.7,"4,0%","25,0%","45,8%","89,2%","0,0%&#8320;&#8320;","25,0%&#8320;&#8320;","$ 2.425","$ 2.489","$ 2.392","$ 2.528","$ 2.936","$ 3.472","$ 4.316","$ 8.040","$ 11.970","$ 13.098","$ 15.202","13,2&#8240;","17,2&#8240;","14,5&#8240;","17,2&#8240;","15,5&#8240;","11,9&#8240;","11,0&#8240;","15,4&#8240;","12,9&#8240;","10,6&#8240;","10,3&#8240;","9,7&#8240;","9,7&#8240;","15,9&#8240;","19,9&#8240;","17,1&#8240;","18,6&#8240;","17,3&#8240;","13,8&#8240;","12,9&#8240;","17,8&#8240;","14,4&#8240;","12,9&#8240;","12,9&#8240;","11,5&#8240;","11,7&#8240;","0,862","59,6%","50,2%","273.964","8.607","$ 6.093","$ 3.423","$ 26.862","22,3%","2,3","10,4%","195.946","9","10","10","8","9","7","5","6","5","5","5","4","4","4","5","9","6","40,9%","35,0%","51,0%","55,2%","39,5%","56,3%","47,7%"
"Santa Fe","Santa Fe",4.3,23.7,37.9,76.9,3.0,31.6,1124,1064,1041,1173,1492,2023,2669,3617,5078,6543,7740,15.2,14.4,14.3,14.0,13.9,12.0,12.4,11.0,11.6,11.5,11.1,10.3,10.8,17.2,16.6,16.7,16.2,16.1,14.2,14.6,13.0,13.7,13.5,12.9,12.1,12.4,0.832,61.2,54.2,3194537,127878,2918,2068,6977,44.2,8.38,1.0,2442569,28,14,12,15,14,13,12,11,10,13,13,16,19,21,14,16,9,39.8,27.6,40.2,40.9,47.0,36.3,36.1,"4,3%","23,7%","37,9%","76,9%","3,0%&#8320;&#8320;","31,6%&#8320;&#8320;","$ 1.124","$ 1.064","$ 1.041","$ 1.173","$ 1.492","$ 2.023","$ 2.669","$ 3.617","$ 5.078","$ 6.543","$ 7.740","15,2&#8240;","14,4&#8240;","14,3&#8240;","14,0&#8240;","13,9&#8240;","12,0&#8240;","12,4&#8240;","11,0&#8240;","11,6&#8240;","11,5&#8240;","11,1&#8240;","10,3&#8240;","10,8&#8240;","17,2&#8240;","16,6&#8240;","16,7&#8240;","16,2&#8240;","16,1&#8240;","14,2&#8240;","14,6&#8240;","13,0&#8240;","13,7&#8240;","13,5&#8240;","12,9&#8240;","12,1&#8240;","12,4&#8240;","0,832","61,2%","54,2%","3.194.537","127.878","$ 2.918","$ 2.068","$ 6.977","44,2%","8,4","1,0%","2.442.569","28","14","12","15","14","13","12","11","10","13","13","16","19","21","14","16","9","39,8%","27,6%","40,2%","40,9%","47,0%","36,3%","36,1%"
"Santiago del Estero","Santiago del Estero",1.2,49.8,71.9,66.5,5.5,15.7,1017,996,923,934,1241,1609,2087,2623,3508,4204,5273,15.5,13.2,14.8,12.4,14.2,13.8,11.7,12.1,13.8,10.4,12.1,14.0,11.7,19.5,16.3,18.6,15.7,18.0,16.5,13.9,14.2,16.5,12.6,15.1,16.5,13.6,0.784,74.6,64.8,874006,22320,4923,761,9051,54.6,5.70,1.2,600887,18,10,7,11,10,10,6,8,4,8,7,10,7,17,10,8,5,43.8,,47.7,59.8,51.0,33.1,84.1,"1,2%","49,8%","71,9%","66,5%","5,5%&#8320;&#8320;","15,7%&#8320;&#8320;","$ 1.017","$ 996","$ 923","$ 934","$ 1.241","$ 1.609","$ 2.087","$ 2.623","$ 3.508","$ 4.204","$ 5.273","15,5&#8240;","13,2&#8240;","14,8&#8240;","12,4&#8240;","14,2&#8240;","13,8&#8240;","11,7&#8240;","12,1&#8240;","13,8&#8240;","10,4&#8240;","12,1&#8240;","14,0&#8240;","11,7&#8240;","19,5&#8240;","16,3&#8240;","18,6&#8240;","15,7&#8240;","18,0&#8240;","16,5&#8240;","13,9&#8240;","14,2&#8240;","16,5&#8240;","12,6&#8240;","15,1&#8240;","16,5&#8240;","13,6&#8240;","0,784","74,6%","64,8%","874.006","22.320","$ 4.923","$ 761","$ 9.051","54,6%","5,7","1,2%","600.887","18","10","7","11","10","10","6","8","4","8","7","10","7","17","10","8","5","43,8%","%","47,7%","59,8%","51,0%","33,1%","84,1%"
"Tierra del Fuego","Tierra del Fuego",70.3,21.3,35.1,94.8,11.8,33.2,2172,1871,1787,2526,3914,5615,7171,10938,12883,14078,17791,7.8,10.5,10.1,9.1,8.4,4.1,6.7,10.9,10.2,6.8,4.6,9.9,7.1,10.7,13.1,11.1,10.5,8.4,7.8,9.2,12.5,13.3,8.0,6.9,11.9,9.8,0.871,58.1,45.4,127205,5805,10367,4499,27680,39.3,8.70,8.1,97058,11,13,12,,11,13,10,7,4,6,10,8,8,14,12,12,9,,24.2,,44.0,-3.6,21.1,5.6,"70,3%","21,3%","35,1%","94,8%","11,8%&#8320;&#8320;","33,2%&#8320;&#8320;","$ 2.172","$ 1.871","$ 1.787","$ 2.526","$ 3.914","$ 5.615","$ 7.171","$ 10.938","$ 12.883","$ 14.078","$ 17.791","7,8&#8240;","10,5&#8240;","10,1&#8240;","9,1&#8240;","8,4&#8240;","4,1&#8240;","6,7&#8240;","10,9&#8240;","10,2&#8240;","6,8&#8240;","4,6&#8240;","9,9&#8240;","7,1&#8240;","10,7&#8240;","13,1&#8240;","11,1&#8240;","10,5&#8240;","8,4&#8240;","7,8&#8240;","9,2&#8240;","12,5&#8240;","13,3&#8240;","8,0&#8240;","6,9&#8240;","11,9&#8240;","9,8&#8240;","0,871","58,1%","45,4%","127.205","5.805","$ 10.367","$ 4.499","$ 27.680","39,3%","8,7","8,1%","97.058","11","13","12","","11","13","10","7","4","6","10","8","8","14","12","12","9","%","24,2%","%","44,0%","-3,6%","21,1%","5,6%"
"Tucuman","Tucum&aacute;n",11.1,41.1,30.0,78.3,3.7,28.1,920,940,911,961,1147,1591,2101,2804,3877,4711,5443,22.5,22.4,24.5,24.3,23.0,20.5,16.2,13.5,12.9,13.8,13.1,14.1,14.1,25.0,24.9,26.9,27.0,25.1,22.4,18.4,15.6,14.7,15.6,14.5,15.9,15.6,0.824,64.7,56.7,1448100,45624,3432,1589,7749,44.9,7.68,9.2,1018558,19,16,15,14,14,14,8,9,6,8,10,11,14,14,13,15,7,19.0,68.0,-6.5,23.6,25.1,36.5,76.3,"11,1%","41,1%","30,0%","78,3%","3,7%&#8320;&#8320;","28,1%&#8320;&#8320;","$ 920","$ 940","$ 911","$ 961","$ 1.147","$ 1.591","$ 2.101","$ 2.804","$ 3.877","$ 4.711","$ 5.443","22,5&#8240;","22,4&#8240;","24,5&#8240;","24,3&#8240;","23,0&#8240;","20,5&#8240;","16,2&#8240;","13,5&#8240;","12,9&#8240;","13,8&#8240;","13,1&#8240;","14,1&#8240;","14,1&#8240;","25,0&#8240;","24,9&#8240;","26,9&#8240;","27,0&#8240;","25,1&#8240;","22,4&#8240;","18,4&#8240;","15,6&#8240;","14,7&#8240;","15,6&#8240;","14,5&#8240;","15,9&#8240;","15,6&#8240;","0,824","64,7%","56,7%","1.448.100","45.624","$ 3.432","$ 1.589","$ 7.749","44,9%","7,7","9,2%","1.018.558","19","16","15","14","14","14","8","9","6","8","10","11","14","14","13","15","7","19,0%","68,0%","-6,5%","23,6%","25,1%","36,5%","76,3%"
